0,1
steve b access digex com steve brinich subject fighting clipper initiative organization express access online communications greenbelt md usa lines nntp posting host access digex net flaming libertarian paranoid extremist loss specific objections sound frighteningly technical idea foisting cripple chip standard us manufacturers would result saying sayonara yet another high tech market technical least difficult understand plays concern lots people worried already could expand simple choice american manufacturers peddling cripple chips secret untested algorithm whose keys held people history untrustworthy behavoir japanese pick obvious example manufacturers peddling encryption chips algorithm faced public scrutiny keys control user would choose american government deny choice american citizens probably glorious success war drugs example much global market,sci.crypt
bear kestrel fsl noaa gov bear giles subject fifth amendment passwords organization forecast systems labs noaa boulder co usa lines article apr magnus acs ohio state edu ashall magnus acs ohio state edu andrew hall writes postive someone correct wrong fifth also cover forced actions self incriminating e g police demand silently take body buried money hidden make piss jar possibly provide dna semen hair samples undergo tests gunpowder residues hand btw chemical engineer arrested wtc explosion thrust hands toilet filled urine cops breaking door nitrogen urine would mask residue explosives found interesting news reported acts reasons somewhere perhaps privacy group discussed legal ramifications using password like shot jimmy hoffa body storage locker camden back impression got real judges would dismiss arguments password self incrimination first year law school sophistry fact use statement password bearing veracity phrase asked incrimidate e g bury body asked provide information necessary execute legal search warrant refusing provide password akin refusing provide key storage locker except could always force way locker course mean help understand find point things overlooked search bear giles bear fsl noaa gov,sci.crypt
livesey solntze wpd sgi com jon livesey subject objective morality political atheists organization sgi lines distribution world nntp posting host solntze wpd sgi com article qlf ginn sn gap caltech edu keith cco caltech edu keith allan schneider writes livesey solntze wpd sgi com jon livesey writes another part thread telling us goal natural morality animals survive right humans gone somewhat beyond though perhaps goal one self actualization humans gone somewhat beyond exactly one thread telling us natural morality animals survive thread claiming omniscient definitely say right wrong omniscient use criterion long term survival human species omniscient map definitely able assign right wrong actions suppose omniscient told long term survival humanity requires us exterminate species either terrestrial alien letting omniscient give information part original premise well original premises habit changing time perhaps like review us tell us difference omniscient able assign right wrong actions telling us result make moral type morality talking natural sense immoral harm another species long adversely affect guess talking morality introduced going implemented omniscient definitely assign right wrong actions tell us type morality jon,alt.atheism
kmr po cwru edu keith ryan subject cruel political atheists organization case western reserve university lines nntp posting host b student cwru edu article ql mdinn gap caltech edu keith cco caltech edu keith allan schneider writes whole thread started discussion whether death penalty constituted cruel punishment forbidden us constitution yes say meant cruel supreme court b makes sense refer constitution quite silent meaning word cruel spent quite bit time wording constitution picked words whose meanings implied intent already looked dictionary define word sufficient need ask question founding fathers consider cruel unusual punishment hanging hanging slowing strangled would painful physically psychologicall imagine firing squad note clean way die back days etc would considered cruel definition allowed constitution founding fathers whatever promises made broken john laws man without honor keep given word,alt.atheism
azw aber ac uk andy woodward subject still cold organization university college wales aberystwyth lines nntp posting host one thing certain though still cold minutes stop hold muffler careful youre really cold muffler feel fine till leave charred skin peel hands speak experience also kindsa americanism day damage circulation warming hands something hot far best fastest safest way shove hands opposit sleeves stand like ming emporer five minutes,rec.motorcycles
mbeaving bnr ca michael beavington subject opinion means nntp posting host bmerh reply mbeaving bnr ca organization bnr ottawa dms software design lines article news duke edu infante acpub duke edu andrew infante writes well aptly put get road jerk wanna hear whining fine fuck well still looks like got attitude problem mr muttonhead take comments sensitivity still despise people belittle drinking driving since first girlfriend killed asshole back learn take verbal abuse take flames use brains stay newsgroup beav mike beavington bellnorthernresearch ottawa ont canada dod seca seca rz seca suzuki seca turbo v sabre gts afford mbeaving bnr ca company idea talking,rec.motorcycles
jjmckay ux cso uiuc edu jim mckay subject water trunk probe organization university illinois urbana lines tszeto sneezy ts stratus com tommy szeto writes water gradually builds trunk friend ford probe every would remove spare scoop water plywood carpet cover trunk would guess usually happens good thunder storm qs common problem yes common problem leaks occur seal taillights unfortunately ford probes recall dissatisfying say least drain holes located hatch drain holes know used margine tub drain regretably waited three months short cash fix warrantee paid dearly messed electrical system including balance motion sensor located near fuel shutoff trunk resulted passive restraints malfunctioning would retract ended paying sensor replaced tail lights resealed firts replaced hatch gasket insisted problem charge proved right mention water damage covers trunk spare com partment algae taillights annoying let water problem go get fixed pay later considering common problem hope every one complains ford thanks info tom tom szeto peanuts ones tszeto sneezy ts stratus com bottom ggnuuaahuuhh include disclaimer h homer simpson,rec.autos
sehrlich lynx dac northeastern edu scott r ehrlich subject help find stolen car organization northeastern university boston usa distribution usa lines offered relay information ham friend mine without internet access name robert bob wondolowski n kda car brown cutlas sierra sedan massachusetts plate adl ht yaesu ft mobile antenna also included car stolen lynn mass days ago april anyone information car whereabouts please e mail thank taking time read message scott ehrlich internet wy z world std com amateur radio wy z packet radio wy z k ugm usa na scott ehrlich internet wy z world std com amateur radio wy z packet radio wy z k ugm usa na,rec.autos
adam sw stratus com mark adam subject space food sticks organization stratus computer inc lines distribution world nntp posting host paix sw stratus com keywords food article pr u b agate berkeley edu ghelf violet berkeley edu rd writes taste hard describe although remember fondly certainly candy say modern power bar sort toffee injected vitamins chocolate power bar rough approximation taste strawberry sucked peanut butter definitely favorite think ever took second bite strawberry recently joined nutri system chewy fudge bar reminicent chocolate space food thing find even comes close taste takes back taste buds happy intestines knots joy mark adam paix sw stratus com opinions stratus hell even agree logic wreath pretty flowers smell bad,sci.space
nicho vnet ibm com greg stewart nicholls subject keeping spacecraft funding cuts reply nicho vnet ibm com disclaimer posting represents poster views ibm news software ureply x x nicho vnet ibm com c w zj hhq murdoch acc virginia edu lines c w zj hhq murdoch acc virginia edu greg hennessy writes article r aqr dnv access digex net prb access digex com pat writes better question transfer birds separate agency continous funding support kind ongoing science missions since money keep going changing seperate agency help anything transferring control non profit organisation able accept donations keep craft operational greg nicholls vidi nicho vnet ibm com vici nicho olympus demon co uk veni,sci.space
dyoung media mit edu david young subject drawing lines inverse xor organization mit media laboratory lines trying write code lets draw lines rubber band boxes motif x running bit display created colormap using almost colors want draw lines drawing area widget widget displaying bitmap using xputimage matter lines draw interactively stay around window refreshed currently draw interactively begin drawindex colortable index reserve foreground default bg color color index background image palette colors drawindex red palette colors default bg color red palette colors drawindex green palette colors default bg color green palette colors drawindex blue palette colors default bg color blue xstorecolors mydisplay cmap palette colors drawindex xflush mydisplay xsetfunction mydisplay gc gxxor xsetforeground mydisplay gc drawindex draw xdrawline mydisplay xtwindow drawingarea gc x x xflush mydisplay done return things normal xsetfunction mydisplay gc gxcopy like happen lines draw inverse whatever drawing instead happens get white lines lines white background nothing shows lines black area nothing shows strange gxxor function seems right since rubber banding box erases redraws correctly ie disturbing underlying image suggestions wrong david,comp.windows.x
rik csc liv ac uk rik turnbull subject string widget resource converter organization computer science liverpool university lines nntp posting host bobr csc liv ac uk anybody tell use xmu function xmucvtstringtowidget want specify widget name resource file connect two widgets together xmform ie myproggy mylistsw topwidget maintextsw however run program get message warning type converter registered string window conversion like manual sez managed find bit code seems correct way go static xtconvertargrec parentcvtargs xtwidgetbaseoffset xtpointer xtoffsetof corerec core parent sizeof corewidget xtsettypeconverter xtrstring xtrwidget xmucvtstringtowidget parentcvtargs xtnumber parentcvtargs xtcacheall null however got clue put example code seems suggest creating widget elsewhere says add widget class intialize function one anybody code please let know trick sure faq thanks advance rik ps header files corep h intrinsicsp h use core h intrinsics h ok know rtfm richard turnbull dept computer science e mail university liverpool rik compsci liverpool ac uk liverpool l bx england phone,comp.windows.x
guykuo carson u washington edu guy kuo subject quadra memory install faq organization university washington lines nntp posting host carson u washington edu summary instructions quadra memory installation keywords memory quadra install turning faq violate quadra warranty install memory insert usual disclaimer remove top lid machine see floppy disk hard drive mounted plastic tower follow usual anti static precautions course make sure machine unplug wall monitor power supply cords back mac remove power supply pulling plastic interlocking tab tower forward simultaneously pulling power supply straight tab piece plastic left posterior aspect tower extends downward hook power supply may also feel horseshoe shaped piece right portion power supply leave alone plastic tab tower need release look rear tower assembly see flat ribbon scsi connector hard drive power cable flat ribbon cable leading floppy drive disconnect motherboard hard drive power cable connector tab must squeezed release unplug drive activity led clear plastic mount look posterior cylindrical section plastic tower phillips head screw base remove taking care drop case bit gummy glue screwdriver helpful remove tower assembly pulling medially plastic tab right side tower tab prevents tower sliding posteriorly slide entire tower assembly cm posteriorly lift tower assembly straight case congratulations gained access machine simm slots six big slots vram one usually must install six gain useful video modes simms ram vram installed chips facing front motherboard four smaller sockets front ram simms install simms sets four sockets sure seat simms squarely firmly fully upright position reinstall tower assembly first placing right wall tower right wall case tower assembly cm posterior intended position lower tower assembly place maintaining contact right wall case fully slide tower assembly anteriorly clicks place reconnect motherboard ends cables dont forget floppy drive cable replace phillips head screw drop power supply straight place clicks plug hard drive activity light back clear plastic mount guy kuo guykuo u washington edu,comp.sys.mac.hardware
organization penn state university acm psuvm psu edu subject daystar turbo opinions lines thinking upgrading mhz version anyone experience accelerator think problems speedometer results much faster mhz basically appreciate hearing product please respond via email summarize big response thanks advance andrew,comp.sys.mac.hardware
franke andrej informatik rwth aachen de christian franke subject info fast centronics ecp epp organization rechnerbetrieb informatik rwth aachen lines nntp posting host andrej informatik rwth aachen de keywords centronics ecp epp hello edn magazine found note new c c controller support several parallel port protocols including fast centronics microsoft enhanced capabilities protocol ecp enhanced parallel port epp last two handle data rates mbytes sec specification protocols available regards christian franke aachen university technology informatik ahornstrasse w aachen germany tel e mail franke informatik rwth aachen de,comp.sys.ibm.pc.hardware
wlsmith valve heart rri uwo ca wayne smith subject ide vs scsi organization john p robarts research institute london ontario nntp posting host valve heart rri uwo ca lines article wayne uv amtower spacecoast org wayne amtower spacecoast orgx newssoftware grn f mike schwartz michael b smith writes still want know intrinsically better ide isa bus comes multi tasking os managing data single scsi hard drive scsi controller transfers data dma allows cpu request data hard drive continue working controller gets data moves memory ide also uses dma techniques believe floppy controller also uses dma boards also use dma dma big deal nothing directly scsi example rewinding formatting tape command issued controller bus released allow access devices bus greatly increases productivity least something else backing hard drive happens reading group thank software dos brains could format floppies etc something else hardware support dos least nothing scsi long story still use ide except cdrom thanks scsi move machines scsi better standardized supported ibm clone machines plan completely get rid ide stick dos wonder multitask ask unix os type os miraculous things ide harddrive single scsi hard drive,comp.sys.ibm.pc.hardware
v qheg ubvmsb cc buffalo edu p vasilion subject next mormons jews organization university buffalo lines news software vax vms vnews nntp posting host ubvmsb cc buffalo edu article apr midway uchicago edu thf midway uchicago edu writes article qvfik rf usenet ins cwru edu cj cleveland freenet edu john w redelfs writes big brother rubbed one minority religion waco next mormons jews koreshians rubbed neither mormons jews propensity dousing kerosene particularly concerned shall blame jim jones government also thankful batf standoff least got kids cult committed mass suicide dont believe branch davidians committed suicide one minute would put past fbi lob incendiary grenades feed story ever ever trust wonderful government tells janet reno fbi murder hundred people hands hope sleep night p vasilion kb nmv suny buffalo std disclaimers cult haters happy hope next,talk.politics.guns
jmd cube handheld com jim de arras subject atf burns dividian ranch survivors organization hand held products inc lines distribution world nntp posting host dale handheld com article c tenu f ns nodak edu green plains nodak edu bill green writes shed light fire widely reported ap etc several witnesses bd folks starting fires also reported fires broke several places rules bradley knocking lamp etc cause widely reported eh remember news blackout since day fbi single sole source rumors may truth may may never know must question though media coverare hiding would like see serious discussion incident believe moves made right proper still problems tactics watching abc special tonight well cnn nightline question atf fbi actions could possible taken koresh outside compound time feb th raid would seem could wait resulted different outcome would still alive today another day another chance fbi actions blaring loudspeakers etc right course action think contributed outcome folks sleep deprived tend think clearly questions like said believe actions taken general proper still reservations feel strongly proper one point fan janet reno like way balls go ahead take full responsibility seems like waffle boy problems figuring stood issue expected come well would hesitated take full credit jim jmd handheld com always rethinking never day rethought bill clinton april american englishman foreign troop landed country never would lay arms never never never william pitt earl chatham nov,talk.politics.guns
xtifr netcom com chris waters subject pc geos windows os unix x organization netcom line communication services guest lines sehari vincent iastate edu sehari iastate edu babak sehari writes limited knowladge pc geos came following comparison pc geos windows os unix x run win programs nop yap yap nop novell least demoing windows apps running unixware run unix nop nop yap heard try mks mks others esp emx note mks toolkit dos windows os gives good suite standard unix utilities similar systems vendors well emx system os gives standard unix system calls recompiling unix programs os quite thing actually running unix programs directly either case emx makes os almost compatible unix systems many unix systems best emx free similar system go dos work windows far know price free good one costs avaliable ext card add cost dos geos windows neither standalone os point neither os unix requires dos btw two best unices seen pee cee unixware personal edition linux free agree good one costs really want check various options available also look desqview desqview x cheers chris waters insane judy bedroom xtifr netcom com need disclaimers inventing situations byrne,comp.os.ms-windows.misc
bcasavan cougar ecn uoknor edu brent casavant subject diamond viper summary want information nntp posting host cougar ecn uoknor edu organization engineering computer network university oklahoma norman ok usa keywords problems lines hi folks end summer planning getting new computer dx dx poking around computer shopper anyway saw ads diamond viper local bus mb memory million winmarks wondering anyone experience good bad worth money etc information would nice also questions anyone know good cheap x ni monitor good cd rom drive meets mpc standards controlled via scsi mb tape drive scsi thanks time brent casavant bcasavan mailhost ecn uoknor edu,comp.os.ms-windows.misc
js isis msstate edu jiann ming su subject bonilla nntp posting host isis msstate edu organization mississippi state university distribution usa lines bobby bonilla supposedly use word faggot got mad author clubhouse banned baseball year like schott,rec.sport.baseball
paul csd csd uwm edu paul r krueger subject brewer bullpen rocked organization computing services division university wisconsin milwaukee lines distribution world nntp posting host originator paul csd csd uwm edu second straight game california scored ton late runs crush brewhas six runs th win monday five th six th win yesterday jamie navarro pitched seven strong innings orosco austin manzanillo lloyd took part mockery bullpen yesterday numbers maldanado pitched three scoreless innings navarro era next lowest staff wegman ouch look much better hitters hamilton batting thon hitting seven rbi next highest three next best hitter jaha vaughn team hr another ouch looking stats hard see team fact sound bad averaging three runs game giving game still early things undoubtedly get better offense come around bullpen major worry fetters plesac austin gave brewers great middle relief last year lloyd maldanado manzanillo fetters austin orosco pick pace team successful milwaukee number games last year middle relief either held small leads kept small deficits place starters okay defense alright hitting come around bullpen big question mark news nilsson doran reactivated yesterday william suero sent tim mcintosh picked montreal today game california cancelled salty,rec.sport.baseball
tran f sunn nwc navy mil tri tran subject info ultrastor hd controller wanted organization nawc lines hi netters anyone know info ultrastor line controller especially interested f f scsi controllers please email info asap building system one conponents missing thanks tri,misc.forsale
bob nntp crl com bob ames subject unix pc software sale organization crl internet dialup access unix login guest lines distribution world nntp posting host crl com,misc.forsale
watson madvax uwa oz au david watson subject sphere points organization maths dept uwa lines distribution world nntp posting host xanthorrhoea maths uwa edu au article qkgbuinns n shelley u washington edu bolson carson u washington edu edward bolson writes given points non coplanar one find sphere center radius exactly fitting points finding circumcenter tetrahedron discussed page contouring guide analysis display spatial data dave watson pergamon press isbn p pair tetrahedral vertices define plane perpendicular bisector line pair express plane form ax cz solve set simultaneous equations three planes vertex common vertices used solution circumcenter dave watson internet watson maths uwa edu au department mathematics university western australia tel nedlands wa australia fax,comp.graphics
raymaker bcm tmc edu mark raymaker subject graphics driver standards organization baylor college medicine houston tx lines nntp posting host bcm tmc edu keywords graphics standards researcher collecting electical impulses human heart complex analog digital system designed inputting information eisa bus hp vectra computer running dos phar lap dos extender want purchase high performance video card modeling aware company called matrox concerned getting married company video routine library would hope flexibility choose several card manufacturers standard video driver would like write generic code code could easily moved cards computer operating systems future hope information would greatly appreciated please possible respond directly internet mail raymaker bcm tmc edu thanks,comp.graphics
dreitman oregon uoregon edu daniel r reitman attorney subject bill conklin letter j article oregon apr distribution world organization university oregon lines nntp posting host oregon uoregon edu news software vax vms vnews article apr colorado edu ajteel dendrite cs colorado edu j teel writes main point human yet born bound contract wrong possible inherit debt third party bound contract party see constitution united states contract third party bound human specifically mentioned article taken oath made affirmation uphold said const bound uphold obey constitution contract statute please mr teel anyone show one case u constitution state constitution considered contract const designed limit powers government bind people also designed delineate powers u government argument presented great detail next post wait daniel reitman write deed one case involved construction conveyance grantees jointly tenants common equal rights interest said land survivor thereof fee simple hold unto said parties hereto equally jointly tenants common equal rights interest period term lives survivor thereof death court held survivorship provision indicated intent create joint tenancy germain v delaine ala,talk.politics.misc
kbanaian bernard pitzer claremont edu king banaian subject national sales tax movie lines organization pitzer college article veal utkvm utk edu veal utkvm utk edu david veal writes article apr alchemy chem utoronto ca golchowy alchemy chem utoronto ca gerald olchowy writes article aa inet gw pa dec com blh uiboise idbsu edu broward l horne writes republicans get act together say support broad based vat would visible vat canada visible unlike invisible vats europe suggest rate sufficient halve income corporate capital gains tax rates rate sufficient give clintons enough revenue health care reform republicans general fighting tax increase also worry vat would far easy increase incrementally graduate student early conference reaganomics jerry jordan member council economic advisors speaker pleasure driving back airport afterwards since taxes main topic discussion thought would ask vat favored reasons mention income base hazy define taxes savings investment likely visible agreed reported cea time favor vat propose asked replied reagan white house feared democrats would introduce vat addition income tax rather lieu better give ideas said pretty prescient btw different canada tax europe makes visible yes canadian readers please tell us tax displayed price stickers relatively certain europe king sparky banaian almost though young kbanaian pitzer claremont edu white guys get dept economics pitzer college morning big smile latest gdp forecast face know homer wrote iliad souza,talk.politics.misc
et teal csn org eric h taylor subject holes practical questions philosophical question summary preferentially amplify holes instead electrons keywords holes electrons semi conductors mobility nntp posting host teal csn org organization l laboratories expires sun may gmt lines article sun scri fsu edu jac ds scri fsu edu jim carr writes agree come nuclear physics one often discusses particle hole excitations certain reactions effect applying annihilation operator creating hole subtle question longer one works real become also quasi particles raise sort question real entity phenomenon certainly real one ok asked new thread lines ask large hole current run thru resistor r cooling instead heating anyone design amplifier preferentially amplifies hole currents normal electron currents semiconductor materials highest ratio hole mobility electron mobility please quote actual test samples rather estimates based theory also limited semiconductors consider also insulators resistors dielectrics piezo electrics conductors magnets metal ceramic magnetostrictives etc notes summarize thread far stated area holes detectable vacuum hole particles exist presence matter previous threads stated holes exist certain semi conductors question naturally arises hole currents inside semi conductor vanish point semiconductor joined conductor say copper want theoretical discussion whether holes could exist inside metal conductors rather ask experimental discussion amplify detect currents exist also note cross posted sci electronics since becoming electronic discussion thanx eric et force nature,sci.electronics
shanlps ducvax auburn edu subject tv reception heelllppp lines nntp posting host ducvax organization auburn university al lines hello canceled support cable regime would like least pick networks nbc tons money even pounds looking best solution reception dollars seen modules plug wall outlet supposedly make entire house antenna admit even limited knowledge wavelength aerial reception seems dubious claims excellent reception best try anything though works non mountainous area approximately miles transmitting stations pretty large montgomery alabama pop colombus goergia pop recommendations products brand names prices company info catalog ordering numbers addresses etc thank advance paul sylvester shanley pshanley humsci auburn edu voice,sci.electronics
